AGENT NAME,CALL DAY,CALL WEEK NUMBER,CALL DATE,CUSTOMER NUMBER
Rahul,Monday,1,1/5/2023,1033254075
Rahul,Tuesday,1,2/5/2023,1033254075
Rahul,Wednesday,1,3/5/2023,1033254075
Rahul,Thursday,1,4/5/2023,1033254075
Rahul,Friday,1,5/5/2023,1033254075
Rahul,Saturday,1,6/5/2023,1033254075
Rahul,Monday,2,8/5/2023,1033254075
Rahul,Tuesday,2,9/5/2023,1033254075
Rahul,Wednesday,2,10/5/2023,1033254075
Rahul,Thursday,2,11/5/2023,1033254075
Rahul,Friday,2,12/5/2023,1033254075
Rahul,Saturday,2,13-05-2023,1033254075
Rahul,Monday,3,15-05-2023,1033254075
Rahul,Tuesday,3,16-05-2023,1033254075
Rahul,Wednesday,3,17-05-2023,1033254075
Rahul,Thursday,3,18-05-2023,1033254075
Rahul,Friday,3,19-05-2023,1033254075
Rahul,Saturday,3,20-05-2023,1033254075
Rahul,Monday,4,22-05-2023,1033254075
Rahul,Tuesday,4,23-05-2023,1033254075
Rahul,Wednesday,4,24-05-2023,1033254075
Rahul,Thursday,4,25-05-2023,1033254075
Rahul,Friday,4,26-05-2023,1033254075
Rahul,Saturday,4,27-05-2023,1033254075
Deepesh,Monday,1,1/5/2023,1033255359
Deepesh,Tuesday,1,2/5/2023,1033255359
Deepesh,Wednesday,1,3/5/2023,1033255359
Deepesh,Thursday,1,4/5/2023,1033255359
Deepesh,Friday,1,5/5/2023,1033255359
Deepesh,Saturday,1,6/5/2023,1033255359
Deepesh,Monday,2,8/5/2023,1033255359
Deepesh,Tuesday,2,9/5/2023,1033255359
Deepesh,Wednesday,2,10/5/2023,1033255359
Deepesh,Thursday,2,11/5/2023,1033255359
Deepesh,Friday,2,12/5/2023,1033255359
Deepesh,Saturday,2,13-05-2023,1033255359
Deepesh,Monday,3,15-05-2023,1033255359
Deepesh,Tuesday,3,16-05-2023,1033255359
Deepesh,Wednesday,3,17-05-2023,1033255359
Deepesh,Thursday,3,18-05-2023,1033255359
Deepesh,Friday,3,19-05-2023,1033255359
Deepesh,Saturday,3,20-05-2023,1033255359
Deepesh,Monday,4,22-05-2023,1033255359
Deepesh,Tuesday,4,23-05-2023,1033255359
Deepesh,Wednesday,4,24-05-2023,1033255359
Deepesh,Thursday,4,25-05-2023,1033255359
Deepesh,Friday,4,26-05-2023,1033255359
Deepesh,Saturday,4,27-05-2023,1033255359
